Capteur,Date,Heure,totalIn,totalOut,averageBus,averageMotos,averagePL,averageVL,averageOther,averageSpeed
P10,2022/10/15,21,0,1,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/15,22,1,1,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/15,23,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/16,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/16,1,3,2,0.0,0.0,0.0,0.6,0.2,NaN
P10,2022/10/16,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/16,3,1,1,0.0,0.0,0.0,0.0,1.0,NaN
P10,2022/10/16,4,1,1,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/16,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/16,6,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/16,7,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/16,8,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/16,9,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/16,10,1,3,0.0,0.0,0.0,0.0,0.0,NaN
P10,2022/10/16,11,3,1,0.0,0.0,0.0,0.5,0.0,NaN
P10,2022/10/16,12,0,1,0.0,0.0,0.0,0.0,1.0,NaN
P10,2022/10/16,13,0,1,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/16,14,2,2,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/16,15,0,2,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/16,16,1,0,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/16,17,5,2,0.0,0.0,0.0,0.7142857142857143,0.0,NaN
P10,2022/10/16,18,1,0,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/16,19,0,1,0.0,0.0,0.0,0.0,0.0,NaN
P10,2022/10/16,20,0,1,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/16,21,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/16,22,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/16,23,1,0,0.0,0.0,0.0,1.0,0.0,NaN
P10,2022/10/17,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/17,1,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/17,2,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/17,3,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/17,4,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/17,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN
P10,2022/10/17,6,2,1,0.0,0.0,0.0,0.0,1.0,NaN
